Issue Type,Epic,Summary,Description,Acceptance Criteria,Story Points,Labels,Dependencies,Parent
Sub-task,Supplier Live Integrations,SUP-02 subtask: [NEW] Backend: production nightly Content API sync job verified against real data,[NEW] Backend: production nightly Content API sync job verified against real data,,,backend;supplier;phase2;subtask,,SUP-02: Cut Hotelbeds over to production with contract-tier rate limits and nightly content sync
Story,Supplier Live Integrations,SUP-03: Replace the STUBA stub with a live sandbox integration,"As a backend engineer, I want have a `StubaClient` call STUBA's real XML session-token API, including reverse-markup net-rate derivation where needed, so that PRD §10.2.2's authentication and mapping spec is implemented against a real sandbox.

PRD reference(s): §10.2.2 STUBA
Module(s)/Screen(s): supplier
Testing tier(s): unit, integration (Testcontainers, sandbox)
Story points reasoning: XML/session-token auth model is materially different from Hotelbeds' signed-hash model — genuinely new integration shape, not a copy-paste.","- Given a STUBA session token expires mid-search, when the error is handled, then automatic re-authentication is attempted with a single retry before surfacing 'temporarily unavailable'.
- Given STUBA's contract returns sell price directly instead of net, when the mapping runs, then a reverse-markup calculation derives the true net rate per the confirmed contract terms.",8,backend;supplier;phase2,"FND-11, DMC-07",
Sub-task,Supplier Live Integrations,"SUP-03 subtask: [NEW] Backend: `internal.stuba.StubaClient` in its own sub-package (live, per backend-best-practices §6)","[NEW] Backend: `internal.stuba.StubaClient` in its own sub-package (live, per backend-best-practices §6)",,,backend;supplier;phase2;subtask,,SUP-03: Replace the STUBA stub with a live sandbox integration
Sub-task,Supplier Live Integrations,SUP-03 subtask: [EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),[EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),,,backend;supplier;phase2;subtask,,SUP-03: Replace the STUBA stub with a live sandbox integration
Sub-task,Supplier Live Integrations,SUP-03 subtask: [NEW] Backend: Stuba-specific exception types + user-facing message mapping (PRD §10.2 table),[NEW] Backend: Stuba-specific exception types + user-facing message mapping (PRD §10.2 table),,,backend;supplier;phase2;subtask,,SUP-03: Replace the STUBA stub with a live sandbox integration
Sub-task,Supplier Live Integrations,"SUP-03 subtask: [EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier","[EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier",,,backend;supplier;phase2;subtask,,SUP-03: Replace the STUBA stub with a live sandbox integration
Sub-task,Supplier Live Integrations,SUP-03 subtask: [NEW] Backend: unit test (mapping + error handling),[NEW] Backend: unit test (mapping + error handling),,,backend;supplier;phase2;subtask,,SUP-03: Replace the STUBA stub with a live sandbox integration
Sub-task,Supplier Live Integrations,"SUP-03 subtask: [NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out","[NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out",,,backend;supplier;phase2;subtask,,SUP-03: Replace the STUBA stub with a live sandbox integration
Story,Supplier Live Integrations,SUP-04: Cut STUBA over to production with independent throttling and confirmed content-sync cadence,"As a Super Admin, I want have STUBA run against production with its own throttle bucket, independent of Hotelbeds, so that PRD §10.2.2's explicit 'lower default concurrency, throttle independently' requirement is met in production.

PRD reference(s): §10.2.2 STUBA (Rate limits, Sync frequency)
Module(s)/Screen(s): supplier
Testing tier(s): integration (Testcontainers)
Story points reasoning: Narrower cutover than SUP-02 since STUBA's static-content sync cadence was flagged as an open item pending confirmation during technical due diligence.","- Given STUBA and Hotelbeds both receive concurrent production traffic, when rate limiting is evaluated, then STUBA's throttle bucket is entirely independent of Hotelbeds' — one supplier's headroom never borrows from the other's budget.",5,backend;supplier;phase2,SUP-03,
Sub-task,Supplier Live Integrations,SUP-04 subtask: [EXTEND] Backend: independent production throttle bucket for STUBA,[EXTEND] Backend: independent production throttle bucket for STUBA,,,backend;supplier;phase2;subtask,,SUP-04: Cut STUBA over to production with independent throttling and confirmed content-sync cadence
Sub-task,Supplier Live Integrations,SUP-04 subtask: [NEW] Backend: content-sync cadence confirmed with STUBA and configured,[NEW] Backend: content-sync cadence confirmed with STUBA and configured,,,backend;supplier;phase2;subtask,,SUP-04: Cut STUBA over to production with independent throttling and confirmed content-sync cadence
Sub-task,Supplier Live Integrations,SUP-04 subtask: [NEW] Backend: production-fixture-shaped integrationTest,[NEW] Backend: production-fixture-shaped integrationTest,,,backend;supplier;phase2;subtask,,SUP-04: Cut STUBA over to production with independent throttling and confirmed content-sync cadence
Story,Supplier Live Integrations,SUP-05: Replace the TBO stub with a live sandbox integration,"As a backend engineer, I want have a `TboClient` call TBO's real API with correct TraceId session handling, so that PRD §10.2.3's TraceId-scoped-to-itinerary-draft requirement is implemented against a real sandbox.

PRD reference(s): §10.2.3 TBO
Module(s)/Screen(s): supplier
Testing tier(s): unit, integration (Testcontainers, sandbox)
Story points reasoning: TraceId session-state persistence tied to the itinerary draft (not request-scoped) is the most architecturally distinct integration in the supplier set.","- Given a TraceId expires mid-itinerary-build, when booking is attempted, then the system detects the expiry and prompts a full re-search rather than a partial retry or silent failure (T19).",8,backend;supplier;phase2,"FND-11, DMC-07",
Sub-task,Supplier Live Integrations,"SUP-05 subtask: [NEW] Backend: `internal.tbo.TboClient` in its own sub-package (live, per backend-best-practices §6)","[NEW] Backend: `internal.tbo.TboClient` in its own sub-package (live, per backend-best-practices §6)",,,backend;supplier;phase2;subtask,,SUP-05: Replace the TBO stub with a live sandbox integration
Sub-task,Supplier Live Integrations,SUP-05 subtask: [EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),[EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),,,backend;supplier;phase2;subtask,,SUP-05: Replace the TBO stub with a live sandbox integration
Sub-task,Supplier Live Integrations,SUP-05 subtask: [NEW] Backend: Tbo-specific exception types + user-facing message mapping (PRD §10.2 table),[NEW] Backend: Tbo-specific exception types + user-facing message mapping (PRD §10.2 table),,,backend;supplier;phase2;subtask,,SUP-05: Replace the TBO stub with a live sandbox integration
Sub-task,Supplier Live Integrations,"SUP-05 subtask: [EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier","[EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier",,,backend;supplier;phase2;subtask,,SUP-05: Replace the TBO stub with a live sandbox integration
Sub-task,Supplier Live Integrations,SUP-05 subtask: [NEW] Backend: unit test (mapping + error handling),[NEW] Backend: unit test (mapping + error handling),,,backend;supplier;phase2;subtask,,SUP-05: Replace the TBO stub with a live sandbox integration
Sub-task,Supplier Live Integrations,"SUP-05 subtask: [NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out","[NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out",,,backend;supplier;phase2;subtask,,SUP-05: Replace the TBO stub with a live sandbox integration
Story,Supplier Live Integrations,SUP-06: Cut TBO over to production with UAT/prod credential separation,"As a Super Admin, I want have TBO run against production using dedicated production credentials, distinct from UAT, so that PRD §10.2.3's explicit UAT-vs-production credential separation requirement is met.

PRD reference(s): §10.2.3 TBO (Authentication)
Module(s)/Screen(s): supplier
Testing tier(s): integration (Testcontainers)
Story points reasoning: Credential-separation cutover; rate-limit tier confirmation is the remaining open item from sandbox testing.","- Given the application runs under a production profile, when TBO credentials resolve, then they are the production credential set, never the UAT set, sourced via FND-11's Secrets Manager pattern.",5,backend;supplier;phase2,SUP-05,
Sub-task,Supplier Live Integrations,SUP-06 subtask: [EXTEND] Backend: production vs. UAT credential separation enforced via profile-scoped Secrets Manager entries,[EXTEND] Backend: production vs. UAT credential separation enforced via profile-scoped Secrets Manager entries,,,backend;supplier;phase2;subtask,,SUP-06: Cut TBO over to production with UAT/prod credential separation
Sub-task,Supplier Live Integrations,SUP-06 subtask: [NEW] Backend: account-tier rate limit confirmed and configured,[NEW] Backend: account-tier rate limit confirmed and configured,,,backend;supplier;phase2;subtask,,SUP-06: Cut TBO over to production with UAT/prod credential separation
Sub-task,Supplier Live Integrations,SUP-06 subtask: [NEW] Backend: production-fixture-shaped integrationTest,[NEW] Backend: production-fixture-shaped integrationTest,,,backend;supplier;phase2;subtask,,SUP-06: Cut TBO over to production with UAT/prod credential separation
Story,Supplier Live Integrations,SUP-07: Replace the Mystifly stub with a live flight-search/PNR integration,"As a backend engineer, I want have a `MystiflyClient` issue real flight searches and PNR issuance with fast fare-expiry re-validation, so that PRD §10.2.4's fare-expiry-sensitive booking flow is implemented against a real sandbox.

PRD reference(s): §10.2.4 Mystifly
Module(s)/Screen(s): supplier
Testing tier(s): unit, integration (Testcontainers, sandbox)
Story points reasoning: Flight fares expire in minutes, not hours — the re-validation-immediately-pre-payment requirement is the highest-stakes correctness rule in the supplier set.","- Given a Mystifly fare expires between search and payment capture, when payment is attempted, then the price is re-validated immediately pre-payment and a 'price changed, please confirm' prompt is shown rather than charging a stale amount (T20).",8,backend;supplier;phase2,"FND-11, DMC-07",
Sub-task,Supplier Live Integrations,"SUP-07 subtask: [NEW] Backend: `internal.mystifly.MystiflyClient` in its own sub-package (live, per backend-best-practices §6)","[NEW] Backend: `internal.mystifly.MystiflyClient` in its own sub-package (live, per backend-best-practices §6)",,,backend;supplier;phase2;subtask,,SUP-07: Replace the Mystifly stub with a live flight-search/PNR integration
Sub-task,Supplier Live Integrations,SUP-07 subtask: [EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),[EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),,,backend;supplier;phase2;subtask,,SUP-07: Replace the Mystifly stub with a live flight-search/PNR integration
Sub-task,Supplier Live Integrations,SUP-07 subtask: [NEW] Backend: Mystifly-specific exception types + user-facing message mapping (PRD §10.2 table),[NEW] Backend: Mystifly-specific exception types + user-facing message mapping (PRD §10.2 table),,,backend;supplier;phase2;subtask,,SUP-07: Replace the Mystifly stub with a live flight-search/PNR integration
Sub-task,Supplier Live Integrations,"SUP-07 subtask: [EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier","[EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier",,,backend;supplier;phase2;subtask,,SUP-07: Replace the Mystifly stub with a live flight-search/PNR integration
Sub-task,Supplier Live Integrations,SUP-07 subtask: [NEW] Backend: unit test (mapping + error handling),[NEW] Backend: unit test (mapping + error handling),,,backend;supplier;phase2;subtask,,SUP-07: Replace the Mystifly stub with a live flight-search/PNR integration
Sub-task,Supplier Live Integrations,"SUP-07 subtask: [NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out","[NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out",,,backend;supplier;phase2;subtask,,SUP-07: Replace the Mystifly stub with a live flight-search/PNR integration
Story,Supplier Live Integrations,SUP-08: Cut Mystifly over to production with a dedicated rate-limit bucket,"As a Super Admin, I want have Mystifly run against production with its own dedicated rate-limit bucket, separate from hotel suppliers, so that PRD §10.2.4's explicit requirement (flights are the most frequently re-searched product given fast fare expiry) is met in production, per backend-best-practices §3.

PRD reference(s): §10.2.4 Mystifly (Rate limits)
Module(s)/Screen(s): supplier
Testing tier(s): integration (Testcontainers)
Story points reasoning: Narrower cutover focused specifically on the dedicated-bucket requirement §10.2.4 calls out by name.","- Given Mystifly and the hotel suppliers all receive concurrent production traffic, when rate limiting is evaluated, then Mystifly's per-minute search cap is enforced from its own dedicated bucket, never sharing budget with Hotelbeds/STUBA/TBO.",5,backend;supplier;phase2,SUP-07,
Sub-task,Supplier Live Integrations,"SUP-08 subtask: [EXTEND] Backend: dedicated production rate-limit bucket for Mystifly, isolated from hotel-supplier buckets","[EXTEND] Backend: dedicated production rate-limit bucket for Mystifly, isolated from hotel-supplier buckets",,,backend;supplier;phase2;subtask,,SUP-08: Cut Mystifly over to production with a dedicated rate-limit bucket
Sub-task,Supplier Live Integrations,SUP-08 subtask: [NEW] Backend: production-fixture-shaped integrationTest,[NEW] Backend: production-fixture-shaped integrationTest,,,backend;supplier;phase2;subtask,,SUP-08: Cut Mystifly over to production with a dedicated rate-limit bucket
Story,Supplier Live Integrations,SUP-09: Replace the Transferz stub with a live transfer integration,"As a backend engineer, I want have a `TransferzClient` distinguish no-coverage-at-location from no-availability, so that PRD §10.2.5's two distinct failure messages are implemented against a real sandbox.

PRD reference(s): §10.2.5 Transferz
Module(s)/Screen(s): supplier
Testing tier(s): unit, integration (Testcontainers, sandbox)
Story points reasoning: Standard REST integration with one specific two-message distinction — lower complexity than the session/TraceId-based suppliers.","- Given Transferz does not service a given pickup/dropoff pair at all, when a search is run, then the user sees 'Transfers not available for this route,' distinct from 'No transfer options available right now'.",5,backend;supplier;phase2,"FND-11, DMC-07",
Sub-task,Supplier Live Integrations,"SUP-09 subtask: [NEW] Backend: `internal.transferz.TransferzClient` in its own sub-package (live, per backend-best-practices §6)","[NEW] Backend: `internal.transferz.TransferzClient` in its own sub-package (live, per backend-best-practices §6)",,,backend;supplier;phase2;subtask,,SUP-09: Replace the Transferz stub with a live transfer integration
Sub-task,Supplier Live Integrations,SUP-09 subtask: [EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),[EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),,,backend;supplier;phase2;subtask,,SUP-09: Replace the Transferz stub with a live transfer integration
Sub-task,Supplier Live Integrations,SUP-09 subtask: [NEW] Backend: Transferz-specific exception types + user-facing message mapping (PRD §10.2 table),[NEW] Backend: Transferz-specific exception types + user-facing message mapping (PRD §10.2 table),,,backend;supplier;phase2;subtask,,SUP-09: Replace the Transferz stub with a live transfer integration
Sub-task,Supplier Live Integrations,"SUP-09 subtask: [EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier","[EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier",,,backend;supplier;phase2;subtask,,SUP-09: Replace the Transferz stub with a live transfer integration
Sub-task,Supplier Live Integrations,SUP-09 subtask: [NEW] Backend: unit test (mapping + error handling),[NEW] Backend: unit test (mapping + error handling),,,backend;supplier;phase2;subtask,,SUP-09: Replace the Transferz stub with a live transfer integration
Sub-task,Supplier Live Integrations,"SUP-09 subtask: [NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out","[NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out",,,backend;supplier;phase2;subtask,,SUP-09: Replace the Transferz stub with a live transfer integration
Story,Supplier Live Integrations,SUP-10: Replace the Widgety stub with a live cruise integration,"As a backend engineer, I want have a `WidgetyClient` flatten multi-port cruise itineraries into Adren's single-line-item model with port metadata, so that PRD §10.2.6's port-flattening and passenger-documentation-capture requirements are implemented against a real sandbox.

PRD reference(s): §10.2.6 Widgety
Module(s)/Screen(s): supplier
Testing tier(s): unit, integration (Testcontainers, sandbox)
Story points reasoning: Multi-port metadata flattening plus a partner-tier access model make this the most structurally distinct remaining supplier integration.","- Given a sailing's cabin category sells out, when a booking is attempted, then a distinct, clearly-labeled 'cabin category sold out' failure state is shown, not a generic rate-expired message.
- Given a cruise booking requires passport details, when booking proceeds, then they are captured in the Traveler Profile before confirmation, not deferred to check-in.",8,backend;supplier;phase2,"FND-11, DMC-07, BOK-14",
Sub-task,Supplier Live Integrations,"SUP-10 subtask: [NEW] Backend: `internal.widgety.WidgetyClient` in its own sub-package (live, per backend-best-practices §6)","[NEW] Backend: `internal.widgety.WidgetyClient` in its own sub-package (live, per backend-best-practices §6)",,,backend;supplier;phase2;subtask,,SUP-10: Replace the Widgety stub with a live cruise integration
Sub-task,Supplier Live Integrations,SUP-10 subtask: [EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),[EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),,,backend;supplier;phase2;subtask,,SUP-10: Replace the Widgety stub with a live cruise integration
Sub-task,Supplier Live Integrations,SUP-10 subtask: [NEW] Backend: Widgety-specific exception types + user-facing message mapping (PRD §10.2 table),[NEW] Backend: Widgety-specific exception types + user-facing message mapping (PRD §10.2 table),,,backend;supplier;phase2;subtask,,SUP-10: Replace the Widgety stub with a live cruise integration
Sub-task,Supplier Live Integrations,"SUP-10 subtask: [EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier","[EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier",,,backend;supplier;phase2;subtask,,SUP-10: Replace the Widgety stub with a live cruise integration
Sub-task,Supplier Live Integrations,SUP-10 subtask: [NEW] Backend: unit test (mapping + error handling),[NEW] Backend: unit test (mapping + error handling),,,backend;supplier;phase2;subtask,,SUP-10: Replace the Widgety stub with a live cruise integration
Sub-task,Supplier Live Integrations,"SUP-10 subtask: [NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out","[NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out",,,backend;supplier;phase2;subtask,,SUP-10: Replace the Widgety stub with a live cruise integration
Story,Supplier Live Integrations,SUP-11: Replace the HBActivities stub with a live time-slot activity integration,"As a backend engineer, I want have an `HbActivitiesClient` handle time-slot-specific sellouts and fixed-headcount booking constraints, so that PRD §10.2.7's slot-specific error messaging is implemented against a real sandbox.

PRD reference(s): §10.2.7 HBActivities
Module(s)/Screen(s): supplier
Testing tier(s): unit, integration (Testcontainers, sandbox)
Story points reasoning: Standard REST integration with one specific slot-vs-day distinction.","- Given a specific tour departure time is full while others on the same day are open, when a search is run, then the empty state communicates 'this time slot is full, try another time,' not a blanket unavailability message (T23).",5,backend;supplier;phase2,"FND-11, DMC-07",
Sub-task,Supplier Live Integrations,"SUP-11 subtask: [NEW] Backend: `internal.hbactivities.HbActivitiesClient` in its own sub-package (live, per backend-best-practices §6)","[NEW] Backend: `internal.hbactivities.HbActivitiesClient` in its own sub-package (live, per backend-best-practices §6)",,,backend;supplier;phase2;subtask,,SUP-11: Replace the HBActivities stub with a live time-slot activity integration
Sub-task,Supplier Live Integrations,SUP-11 subtask: [EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),[EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),,,backend;supplier;phase2;subtask,,SUP-11: Replace the HBActivities stub with a live time-slot activity integration
Sub-task,Supplier Live Integrations,SUP-11 subtask: [NEW] Backend: HbActivities-specific exception types + user-facing message mapping (PRD §10.2 table),[NEW] Backend: HbActivities-specific exception types + user-facing message mapping (PRD §10.2 table),,,backend;supplier;phase2;subtask,,SUP-11: Replace the HBActivities stub with a live time-slot activity integration
Sub-task,Supplier Live Integrations,"SUP-11 subtask: [EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier","[EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier",,,backend;supplier;phase2;subtask,,SUP-11: Replace the HBActivities stub with a live time-slot activity integration
Sub-task,Supplier Live Integrations,SUP-11 subtask: [NEW] Backend: unit test (mapping + error handling),[NEW] Backend: unit test (mapping + error handling),,,backend;supplier;phase2;subtask,,SUP-11: Replace the HBActivities stub with a live time-slot activity integration
Sub-task,Supplier Live Integrations,"SUP-11 subtask: [NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out","[NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out",,,backend;supplier;phase2;subtask,,SUP-11: Replace the HBActivities stub with a live time-slot activity integration
Story,Supplier Live Integrations,SUP-12: Tune property-matching/deduplication against real supplier data volumes,"As a Consultant/User, I want see accurate deduplication once real Hotelbeds/STUBA/TBO data (not synthetic MVP fixtures) is flowing through search, so that PRD §9.4's deduplication requirement holds up under real-world naming/address inconsistencies across suppliers, which BOK-20's MVP heuristic was only validated against synthetic data.

PRD reference(s): §9.4 Business Rules & Edge Cases
Module(s)/Screen(s): supplier, booking
Testing tier(s): integration (Testcontainers)
Story points reasoning: Fuzzy-matching tuning against real data is inherently iterative and highest-uncertainty — carries over BOK-20's risk profile at production scale.","- Given real Hotelbeds and STUBA production data for the same physical property is compared, when the matcher runs, then the false-positive and false-negative rate is measured and tuned against a labeled sample of real properties, not just the MVP's synthetic fixture set.",8,backend;supplier;booking;phase2,"BOK-20, SUP-02, SUP-04, SUP-06",
Sub-task,Supplier Live Integrations,SUP-12 subtask: [EXTEND] Backend: property-matching heuristic tuned against a labeled real-property sample set,[EXTEND] Backend: property-matching heuristic tuned against a labeled real-property sample set,,,backend;supplier;booking;phase2;subtask,,SUP-12: Tune property-matching/deduplication against real supplier data volumes
Sub-task,Supplier Live Integrations,SUP-12 subtask: [NEW] Backend: false-positive/false-negative rate measurement harness,[NEW] Backend: false-positive/false-negative rate measurement harness,,,backend;supplier;booking;phase2;subtask,,SUP-12: Tune property-matching/deduplication against real supplier data volumes
Sub-task,Supplier Live Integrations,SUP-12 subtask: [NEW] Backend: integrationTest — regression suite of known-tricky real property pairs,[NEW] Backend: integrationTest — regression suite of known-tricky real property pairs,,,backend;supplier;booking;phase2;subtask,,SUP-12: Tune property-matching/deduplication against real supplier data volumes
Story,Supplier Live Integrations,SUP-13: Tune per-supplier circuit breakers against real production latency profiles,"As a platform reliability owner, I want have each supplier's circuit breaker's failure threshold and half-open window tuned to its real observed latency/error profile, so that PRD §24.2's isolation NFR holds under real supplier behavior, not just the MVP's default Resilience4j configuration.

PRD reference(s): §24.2 NFR Supplier Integration
Module(s)/Screen(s): supplier
Testing tier(s): integration (Testcontainers)
Story points reasoning: Configuration tuning informed by production observability data (depends on OBS-05's per-supplier trace spans).","- Given a supplier's real production error/latency profile is observed for a defined window, when the circuit breaker's threshold is reviewed, then its failure-rate threshold and half-open wait duration are tuned per-supplier rather than left at generic defaults.",5,backend;supplier;phase2,OBS-05,
Sub-task,Supplier Live Integrations,SUP-13 subtask: [EXTEND] Backend: per-supplier circuit-breaker threshold/half-open tuning based on observed production data,[EXTEND] Backend: per-supplier circuit-breaker threshold/half-open tuning based on observed production data,,,backend;supplier;phase2;subtask,,SUP-13: Tune per-supplier circuit breakers against real production latency profiles
Sub-task,Supplier Live Integrations,SUP-13 subtask: [NEW] Backend: integrationTest — tuned thresholds trip correctly under simulated real-profile failure,[NEW] Backend: integrationTest — tuned thresholds trip correctly under simulated real-profile failure,,,backend;supplier;phase2;subtask,,SUP-13: Tune per-supplier circuit breakers against real production latency profiles
Story,Supplier Live Integrations,SUP-14: Run a supplier sandbox-vs-production divergence regression suite in CI,"As a QA engineer, I want have every supplier client change automatically run against both sandbox and production-like fixtures with divergence flagged, so that PRD §23.2 Edge Case #4 is enforced continuously at production scale, not just verified once during initial integration.

PRD reference(s): §23.2 Edge Case #4; §25 T19/T20
Module(s)/Screen(s): supplier
Testing tier(s): integration (Testcontainers)
Story points reasoning: Extends TST-06's MVP-stage separation with real production fixture data now available post-cutover.","- Given a supplier client's mapping logic changes, when CI runs, then both the sandbox-fixture and production-fixture-shaped test suites (TST-06) execute, and any divergence in mapped output is flagged as a distinct CI failure, not silently passed.",5,backend;testing;supplier;phase2,"TST-06, SUP-02, SUP-04, SUP-06",
