Issue Type,Epic,Summary,Description,Acceptance Criteria,Story Points,Labels,Dependencies,Parent
Story,Foundation,"FND-05: Super Admin manages Consultant lifecycle (view, suspend, reinstate)","As a Super Admin, I want view all onboarded Consultants and change their status, so that I retain oversight of the Consultant base per PRD §3.1's Super Admin persona description.

PRD reference(s): §3.1 Super Admin persona; §21.6 Super Admin Console
Module(s)/Screen(s): whitelabel, Super Admin Console (21.6)
Testing tier(s): unit, module (@ApplicationModuleTest), component test
Story points reasoning: Standard CRUD + status transition on top of FND-04's entity.","- Given Super Admin opens the Consultants list, when the page loads, then every Consultant is shown with status, home market, and onboarding date, paginated per RULES.md §3.4.
- Given Super Admin suspends a Consultant, when the action is confirmed, then that Consultant's Users can no longer search/book until reinstated.",5,backend;frontend;foundation;phase1,FND-04,
Sub-task,Foundation,FND-05 subtask: [EXTEND] Backend: `suspendConsultant/reinstateConsultant` business logic / state-transition method,[EXTEND] Backend: `suspendConsultant/reinstateConsultant` business logic / state-transition method,,,backend;frontend;foundation;phase1;subtask,,"FND-05: Super Admin manages Consultant lifecycle (view, suspend, reinstate)"
Sub-task,Foundation,"FND-05 subtask: [EXTEND] Backend: domain event publication (`@Transactional`, same method scope)","[EXTEND] Backend: domain event publication (`@Transactional`, same method scope)",,,backend;frontend;foundation;phase1;subtask,,"FND-05: Super Admin manages Consultant lifecycle (view, suspend, reinstate)"
Sub-task,Foundation,FND-05 subtask: [EXTEND] Backend: REST endpoint `PATCH /api/v1/consultants/{id}/status`,[EXTEND] Backend: REST endpoint `PATCH /api/v1/consultants/{id}/status`,,,backend;frontend;foundation;phase1;subtask,,"FND-05: Super Admin manages Consultant lifecycle (view, suspend, reinstate)"
Sub-task,Foundation,FND-05 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;frontend;foundation;phase1;subtask,,"FND-05: Super Admin manages Consultant lifecycle (view, suspend, reinstate)"
Sub-task,Foundation,FND-05 subtask: [NEW] Backend: module/integration test,[NEW] Backend: module/integration test,,,backend;frontend;foundation;phase1;subtask,,"FND-05: Super Admin manages Consultant lifecycle (view, suspend, reinstate)"
Sub-task,Foundation,FND-05 subtask: [NEW] Frontend: `useConsultantList` hook (React Query for server data per RULES.md §7.1),[NEW] Frontend: `useConsultantList` hook (React Query for server data per RULES.md §7.1),,,backend;frontend;foundation;phase1;subtask,,"FND-05: Super Admin manages Consultant lifecycle (view, suspend, reinstate)"
Sub-task,Foundation,FND-05 subtask: [NEW] Frontend: `ConsultantList.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),[NEW] Frontend: `ConsultantList.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),,,backend;frontend;foundation;phase1;subtask,,"FND-05: Super Admin manages Consultant lifecycle (view, suspend, reinstate)"
Sub-task,Foundation,"FND-05 subtask: [NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)","[NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)",,,backend;frontend;foundation;phase1;subtask,,"FND-05: Super Admin manages Consultant lifecycle (view, suspend, reinstate)"
Story,Foundation,"FND-06: Configure Consultant white-label branding (logo, colors, domain)","As a Super Admin, I want configure a Consultant's logo, background image, primary/secondary text color, and CNAME domain mapping, so that each Consultant's storefront reflects their own brand per PRD §13.2.

PRD reference(s): §13.2 Branding Configuration; §21.6 Super Admin Console
Module(s)/Screen(s): whitelabel, Super Admin Console (21.6)
Testing tier(s): unit, module (@ApplicationModuleTest), component test
Story points reasoning: New entity (BrandingProfile) plus file upload; UI is a form over that entity.","- Given Super Admin uploads a logo and sets primary/secondary colors for a Consultant, when the change is saved, then the Consultant's theme tokens update.
- Given Super Admin maps a CNAME domain to a Consultant, when the mapping is saved, then the domain registry used by dynamic CORS (FND-08) reflects it.",5,backend;foundation;whitelabel;phase1,FND-04,
Sub-task,Foundation,"FND-06 subtask: [NEW] Backend: `BrandingProfile` entity + `BrandingProfileRepository` (package-private, own Flyway migration)","[NEW] Backend: `BrandingProfile` entity + `BrandingProfileRepository` (package-private, own Flyway migration)",,,backend;foundation;whitelabel;phase1;subtask,,"FND-06: Configure Consultant white-label branding (logo, colors, domain)"
Sub-task,Foundation,FND-06 subtask: [NEW] Backend: `updateBranding` on the module `ServiceImpl` + domain event publication (`@Transactional`),[NEW] Backend: `updateBranding` on the module `ServiceImpl` + domain event publication (`@Transactional`),,,backend;foundation;whitelabel;phase1;subtask,,"FND-06: Configure Consultant white-label branding (logo, colors, domain)"
Sub-task,Foundation,FND-06 subtask: [NEW] Backend: REST endpoint `PATCH /api/v1/consultants/{id}/branding` (Controller depends on the module's `Api` interface only),[NEW] Backend: REST endpoint `PATCH /api/v1/consultants/{id}/branding` (Controller depends on the module's `Api` interface only),,,backend;foundation;whitelabel;phase1;subtask,,"FND-06: Configure Consultant white-label branding (logo, colors, domain)"
Sub-task,Foundation,"FND-06 subtask: [NEW] Backend: unit test (service logic, mocked repository/publisher)","[NEW] Backend: unit test (service logic, mocked repository/publisher)",,,backend;foundation;whitelabel;phase1;subtask,,"FND-06: Configure Consultant white-label branding (logo, colors, domain)"
Sub-task,Foundation,FND-06 subtask: [NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),[NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),,,backend;foundation;whitelabel;phase1;subtask,,"FND-06: Configure Consultant white-label branding (logo, colors, domain)"
Story,Foundation,FND-07: Propagate branding/domain changes to the live storefront without a redeploy,"As a Consultant, I want see my branding and domain changes reflected on my live storefront within a short window, so that PRD §24.5's NFR is met and I don't have to wait for a platform release to see my own branding update.

PRD reference(s): §24.5 NFR White-Label & Admin
Module(s)/Screen(s): whitelabel
Testing tier(s): module (@ApplicationModuleTest), integration (Testcontainers)
Story points reasoning: Requires a cache-invalidation/propagation mechanism (e.g. short-TTL cache + event) rather than a full redeploy path.","- Given Super Admin saves a branding change for a Consultant, when the change is persisted, then the Consultant's storefront reflects it within the NFR's defined short window without a backend redeploy.",5,backend;foundation;whitelabel;phase1,FND-06,
Sub-task,Foundation,FND-07 subtask: [NEW] Infra: short-TTL branding cache + invalidation event on save,[NEW] Infra: short-TTL branding cache + invalidation event on save,,,backend;foundation;whitelabel;phase1;subtask,,FND-07: Propagate branding/domain changes to the live storefront without a redeploy
Sub-task,Foundation,FND-07 subtask: [NEW] Infra: README / RULES.md documentation update,[NEW] Infra: README / RULES.md documentation update,,,backend;foundation;whitelabel;phase1;subtask,,FND-07: Propagate branding/domain changes to the live storefront without a redeploy
Sub-task,Foundation,FND-07 subtask: [NEW] Infra: verification step (local run and/or CI check),[NEW] Infra: verification step (local run and/or CI check),,,backend;foundation;whitelabel;phase1;subtask,,FND-07: Propagate branding/domain changes to the live storefront without a redeploy
Sub-task,Foundation,FND-07 subtask: [NEW] Backend: unit test for cache invalidation trigger,[NEW] Backend: unit test for cache invalidation trigger,,,backend;foundation;whitelabel;phase1;subtask,,FND-07: Propagate branding/domain changes to the live storefront without a redeploy
Story,Foundation,FND-08: Enforce dynamic per-Consultant CORS allow-list for white-label domains,"As a platform security owner, I want have CORS resolved per-request from the whitelabel domain registry, so that a wildcard CORS policy never becomes the default path to cross-tenant credential/session theft, per RULES.md §5.4.

PRD reference(s): §5.4 OWASP concerns (RULES.md); §13.2 Branding Configuration
Module(s)/Screen(s): whitelabel, shared
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Security-sensitive but well-scoped: one CORS filter reading FND-06's domain registry.","- Given a request originates from a Consultant's mapped CNAME domain, when CORS is evaluated, then it is allowed.
- Given a request originates from an unmapped/unknown origin, when CORS is evaluated, then it is rejected — no wildcard fallback exists anywhere in config.",5,backend;foundation;security;phase1,FND-06,
Sub-task,Foundation,FND-08 subtask: [NEW] Backend: dynamic CORS filter resolving allow-list from `whitelabel` domain registry,[NEW] Backend: dynamic CORS filter resolving allow-list from `whitelabel` domain registry,,,backend;foundation;security;phase1;subtask,,FND-08: Enforce dynamic per-Consultant CORS allow-list for white-label domains
Sub-task,Foundation,FND-08 subtask: [NEW] Backend: unit test — mapped vs. unmapped origin,[NEW] Backend: unit test — mapped vs. unmapped origin,,,backend;foundation;security;phase1;subtask,,FND-08: Enforce dynamic per-Consultant CORS allow-list for white-label domains
Sub-task,Foundation,FND-08 subtask: [NEW] Backend: module test — no wildcard present in any active profile,[NEW] Backend: module test — no wildcard present in any active profile,,,backend;foundation;security;phase1;subtask,,FND-08: Enforce dynamic per-Consultant CORS allow-list for white-label domains
Story,Foundation,FND-09: Consultant manages Users (staff/sub-agents) under their own account,"As a Consultant, I want add and manage Users under my account, so that my staff can search, build itineraries, and book products without me sharing my own login, per PRD §3.3.

PRD reference(s): §3.2 Consultant persona; §3.3 User persona; §6 Roles & Permissions Matrix
Module(s)/Screen(s): whitelabel
Testing tier(s): unit, module (@ApplicationModuleTest), component test
Story points reasoning: Standard CRUD entity plus per-User capability-grant flags reused by FND-02's authorization checks.","- Given a Consultant adds a new User, when the User is created, then that User can log in scoped to the Consultant's consultant_id and cannot change markup, onboard suppliers, or manage branding.
- Given a Consultant grants a User the 'create package' permission, when the grant is saved, then that specific User can create packages while others under the same Consultant cannot.",5,backend;frontend;foundation;phase1,"FND-01, FND-02",
Sub-task,Foundation,"FND-09 subtask: [NEW] Backend: `ConsultantUser` entity + `ConsultantUserRepository` (package-private, own Flyway migration)","[NEW] Backend: `ConsultantUser` entity + `ConsultantUserRepository` (package-private, own Flyway migration)",,,backend;frontend;foundation;phase1;subtask,,FND-09: Consultant manages Users (staff/sub-agents) under their own account
Sub-task,Foundation,FND-09 subtask: [NEW] Backend: `addUser/updateUserGrants` on the module `ServiceImpl` + domain event publication (`@Transactional`),[NEW] Backend: `addUser/updateUserGrants` on the module `ServiceImpl` + domain event publication (`@Transactional`),,,backend;frontend;foundation;phase1;subtask,,FND-09: Consultant manages Users (staff/sub-agents) under their own account
Sub-task,Foundation,FND-09 subtask: [NEW] Backend: REST endpoint `POST /api/v1/users` (Controller depends on the module's `Api` interface only),[NEW] Backend: REST endpoint `POST /api/v1/users` (Controller depends on the module's `Api` interface only),,,backend;frontend;foundation;phase1;subtask,,FND-09: Consultant manages Users (staff/sub-agents) under their own account
Sub-task,Foundation,"FND-09 subtask: [NEW] Backend: unit test (service logic, mocked repository/publisher)","[NEW] Backend: unit test (service logic, mocked repository/publisher)",,,backend;frontend;foundation;phase1;subtask,,FND-09: Consultant manages Users (staff/sub-agents) under their own account
Sub-task,Foundation,FND-09 subtask: [NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),[NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),,,backend;frontend;foundation;phase1;subtask,,FND-09: Consultant manages Users (staff/sub-agents) under their own account
Sub-task,Foundation,FND-09 subtask: [NEW] Frontend: `useUserManagement` hook (React Query for server data per RULES.md §7.1),[NEW] Frontend: `useUserManagement` hook (React Query for server data per RULES.md §7.1),,,backend;frontend;foundation;phase1;subtask,,FND-09: Consultant manages Users (staff/sub-agents) under their own account
Sub-task,Foundation,FND-09 subtask: [NEW] Frontend: `UserManagement.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),[NEW] Frontend: `UserManagement.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),,,backend;frontend;foundation;phase1;subtask,,FND-09: Consultant manages Users (staff/sub-agents) under their own account
Sub-task,Foundation,"FND-09 subtask: [NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)","[NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)",,,backend;frontend;foundation;phase1;subtask,,FND-09: Consultant manages Users (staff/sub-agents) under their own account
Story,Foundation,FND-10: Super Admin manages Adren-owned supplier API credentials,"As a Super Admin, I want add and update Hotelbeds/STUBA/TBO/Mystifly/Transferz/Widgety/HBActivities credentials with masked fields and an audit trail of who last changed them, so that supplier access can be rotated and reviewed without exposing raw secrets in the UI, per PRD §21.6.

PRD reference(s): §21.6 Super Admin Console — Supplier credential management; §10.2 Per-Supplier Integration Requirements
Module(s)/Screen(s): supplier, Super Admin Console (21.6)
Testing tier(s): unit, module (@ApplicationModuleTest), component test
Story points reasoning: New entity + audit trail + masked-field UI, feeding 7 supplier integrations — foundational for the whole supplier module.","- Given Super Admin opens the credential screen for Hotelbeds, when the credential set is displayed, then the secret value is masked and only the last-modified user/timestamp is shown.
- Given Super Admin updates a supplier's credentials, when the change is saved, then an audit log entry records who changed it and when.",8,backend;frontend;foundation;supplier;security;phase1,"FND-01, FND-02",
Sub-task,Foundation,"FND-10 subtask: [NEW] Backend: `SupplierCredential` entity + `SupplierCredentialRepository` (package-private, own Flyway migration)","[NEW] Backend: `SupplierCredential` entity + `SupplierCredentialRepository` (package-private, own Flyway migration)",,,backend;frontend;foundation;supplier;security;phase1;subtask,,FND-10: Super Admin manages Adren-owned supplier API credentials
Sub-task,Foundation,FND-10 subtask: [NEW] Backend: `updateSupplierCredential` on the module `ServiceImpl` + domain event publication (`@Transactional`),[NEW] Backend: `updateSupplierCredential` on the module `ServiceImpl` + domain event publication (`@Transactional`),,,backend;frontend;foundation;supplier;security;phase1;subtask,,FND-10: Super Admin manages Adren-owned supplier API credentials
Sub-task,Foundation,FND-10 subtask: [NEW] Backend: REST endpoint `PUT /api/v1/suppliers/{supplierId}/credentials` (Controller depends on the module's `Api` interface only),[NEW] Backend: REST endpoint `PUT /api/v1/suppliers/{supplierId}/credentials` (Controller depends on the module's `Api` interface only),,,backend;frontend;foundation;supplier;security;phase1;subtask,,FND-10: Super Admin manages Adren-owned supplier API credentials
Sub-task,Foundation,"FND-10 subtask: [NEW] Backend: unit test (service logic, mocked repository/publisher)","[NEW] Backend: unit test (service logic, mocked repository/publisher)",,,backend;frontend;foundation;supplier;security;phase1;subtask,,FND-10: Super Admin manages Adren-owned supplier API credentials
Sub-task,Foundation,FND-10 subtask: [NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),[NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),,,backend;frontend;foundation;supplier;security;phase1;subtask,,FND-10: Super Admin manages Adren-owned supplier API credentials
Sub-task,Foundation,FND-10 subtask: [NEW] Frontend: `useSupplierCredentials` hook (React Query for server data per RULES.md §7.1),[NEW] Frontend: `useSupplierCredentials` hook (React Query for server data per RULES.md §7.1),,,backend;frontend;foundation;supplier;security;phase1;subtask,,FND-10: Super Admin manages Adren-owned supplier API credentials
Sub-task,Foundation,FND-10 subtask: [NEW] Frontend: `SupplierCredentialManagement.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),[NEW] Frontend: `SupplierCredentialManagement.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),,,backend;frontend;foundation;supplier;security;phase1;subtask,,FND-10: Super Admin manages Adren-owned supplier API credentials
Sub-task,Foundation,"FND-10 subtask: [NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)","[NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)",,,backend;frontend;foundation;supplier;security;phase1;subtask,,FND-10: Super Admin manages Adren-owned supplier API credentials
Sub-task,Foundation,"FND-10 subtask: [NEW] Backend: credential-change audit log (who/when, never the secret value)","[NEW] Backend: credential-change audit log (who/when, never the secret value)",,,backend;frontend;foundation;supplier;security;phase1;subtask,,FND-10: Super Admin manages Adren-owned supplier API credentials
Story,Foundation,"FND-11: Store Adren-owned supplier credentials in Secrets Manager, not plaintext config","As a platform security owner, I want have Hotelbeds/STUBA/TBO/etc. credentials live in AWS Secrets Manager (LocalStack in dev) referenced by ARN, so that no real integration credential is ever a plaintext config value, committed file, or environment variable outside local Docker Compose, per RULES.md §5.3.

PRD reference(s): §5.3 Secrets handling (RULES.md)
Module(s)/Screen(s): supplier
Testing tier(s): unit, integration (Testcontainers + LocalStack)
Story points reasoning: Wires `aws-secretsmanager` (already a build dependency) into the credential save path.","- Given a supplier credential is saved via FND-10's screen, when the write completes, then the secret is stored in Secrets Manager and only its ARN is persisted in Postgres.
- Given application config is inspected in any non-local profile, when no supplier credential appears, then only ARNs/references are present.",5,backend;foundation;security;phase1,FND-10,
Sub-task,Foundation,FND-11 subtask: [NEW] Backend: Secrets Manager write on credential save (LocalStack-backed in dev/test),[NEW] Backend: Secrets Manager write on credential save (LocalStack-backed in dev/test),,,backend;foundation;security;phase1;subtask,,"FND-11: Store Adren-owned supplier credentials in Secrets Manager, not plaintext config"
Sub-task,Foundation,FND-11 subtask: [EXTEND] Backend: `SupplierCredential` entity stores ARN only,[EXTEND] Backend: `SupplierCredential` entity stores ARN only,,,backend;foundation;security;phase1;subtask,,"FND-11: Store Adren-owned supplier credentials in Secrets Manager, not plaintext config"
Sub-task,Foundation,"FND-11 subtask: [NEW] Backend: unit test (ARN persisted, no plaintext)","[NEW] Backend: unit test (ARN persisted, no plaintext)",,,backend;foundation;security;phase1;subtask,,"FND-11: Store Adren-owned supplier credentials in Secrets Manager, not plaintext config"
Sub-task,Foundation,FND-11 subtask: [NEW] Backend: integrationTest against LocalStack Secrets Manager,[NEW] Backend: integrationTest against LocalStack Secrets Manager,,,backend;foundation;security;phase1;subtask,,"FND-11: Store Adren-owned supplier credentials in Secrets Manager, not plaintext config"
